v_products_model,v_categories_name_1
"3930-00000066-001","IEMS Uniform"
"3930-00000067-001","IEMS Uniform"
"3930-00000068-001","IEMS Uniform"
"3930-00000069-001","IEMS Uniform"
"3930-00000070-001","IEMS Uniform"
"3930-00000071-001","IEMS Uniform"
"3930-00000072-001","IEMS Uniform"
"3930-00000073-001","IEMS Uniform"
"3930-00000074-001","IEMS Uniform"
"3930-00000075-001","IEMS Uniform"
"3930-00000076-001","IEMS Uniform"
"3930-00000077-001","IEMS Uniform"
"3930-00000078-001","IEMS Uniform"
"3930-00000079-001","IEMS Uniform"
"3930-00000080-001","IEMS Uniform"
"3930-00000081-001","IEMS Uniform"
"3930-00000082-001","IEMS Uniform"
"3930-00000083-001","IEMS Uniform"
"3930-00000084-001","IEMS Uniform"
"3930-00000085-001","IEMS Uniform"
"3930-00000086-001","IEMS Uniform"
"3930-00000087-001","IEMS Uniform"
"3930-00000088-001","IEMS Uniform"
"3930-00000089-001","IEMS Uniform"
"3930-00000090-001","IEMS Uniform"
"3930-00000091-001","IEMS Uniform"
"3930-00000092-001","IEMS Uniform"
"3930-00000093-001","IEMS Uniform"
"3930-00000094-001","IEMS Uniform"
"3930-00000095-001","IEMS Uniform"
"3930-00000096-001","IEMS Uniform"
"3930-00000097-001","IEMS Uniform"
"3930-00000098-001","IEMS Uniform"
"3930-00000099-001","IEMS Uniform"
"3930-00000100-001","IEMS Uniform"
"3930-00000101-001","IEMS Uniform"
"3930-00000102-001","IEMS Uniform"
"3930-00000103-001","IEMS Uniform"
"3930-00000104-001","IEMS Uniform"
"3930-00000105-001","IEMS Uniform"
"3930-00000106-001","IEMS Uniform"
"3930-00000107-001","IEMS Uniform"
"3930-00000108-001","IEMS Uniform"
"3930-00000109-001","IEMS Uniform"
"3930-00000110-001","IEMS Uniform"
"3930-00000111-001","IEMS Uniform"
"3930-00000112-001","IEMS Uniform"
"3930-00000113-001","IEMS Uniform"
"3930-00000114-001","IEMS Uniform"
"3930-00000115-001","IEMS Uniform"
"3930-00000116-001","IEMS Uniform"
"3930-00000117-001","IEMS Uniform"
"3930-00000118-001","IEMS Uniform"
"3930-00000119-001","IEMS Uniform"
"3930-00000120-001","IEMS Uniform"
"3930-00000121-001","IEMS Uniform"
"3930-00000122-001","IEMS Uniform"
"3930-00000123-001","IEMS Uniform"
"3930-00000124-001","IEMS Uniform"
"3930-00000125-001","IEMS Uniform"
"3930-00000126-001","IEMS Uniform"
"3930-00000127-001","IEMS Uniform"
"3930-00000128-001","IEMS Uniform"
"3930-00000129-001","IEMS Uniform"
"3930-00000130-001","IEMS Uniform"
"3930-00000131-001","IEMS Uniform"
"3930-00000132-001","IEMS Uniform"
"3930-00000133-001","IEMS Uniform"
"3930-00000134-001","IEMS Uniform"
"3930-00000135-001","IEMS Uniform"
"3930-00000136-001","IEMS Uniform"
"3930-00000137-001","IEMS Uniform"
"0175-00000001-001","Patient Handling"
"0175-00000005-001","Patient Handling"
"0175-00000002-001","Patient Handling"
"0175-00000006-001","Patient Handling"
"0175-00000002-002","Patient Handling"
"0175-00000010-001","Patient Handling"
"0175-00000011-001","Patient Handling"
"0180-00000001-001","Patient Comfort / Toiletries"
"0180-00000002-001","Patient Comfort / Toiletries"
"0180-00000004-001","Patient Comfort / Toiletries"
"0180-00000003-001","Patient Comfort / Toiletries"
"0180-00000018-001","Patient Comfort / Toiletries"
"0046-00000001-001","EtCO2 Supplies"
"0046-00000002-001","EtCO2 Supplies"
"0046-00000003-001","EtCO2 Supplies"
"0046-00000004-001","EtCO2 Supplies"
"0046-00000005-001","EtCO2 Supplies"
"0000-00000000-000","Logistics Internal Use"
"0140-00000001-001","Infectious Disease Response"
"0140-00000005-001","Infectious Disease Response"
"0140-00000006-001","Infectious Disease Response"
"0140-00000007-001","Infectious Disease Response"
"0140-00000008-001","Infectious Disease Response"
"0140-00000010-001","Infectious Disease Response"
"0140-00000011-001","Infectious Disease Response"
"0140-00000012-001","Infectious Disease Response"
"0140-00000015-001","Infectious Disease Response"
"0140-00000016-001","Infectious Disease Response"
"0140-00000022-001","Infectious Disease Response"
"0140-00000023-001","Infectious Disease Response"
"0140-00000024-001","Infectious Disease Response"
"0140-00000025-001","Infectious Disease Response"
"0140-00000026-001","Infectious Disease Response"
"0140-00000027-001","Infectious Disease Response"
"0140-00000028-001","Infectious Disease Response"
"0140-00000029-001","Infectious Disease Response"
"0140-00000030-001","Infectious Disease Response"
"0140-00000031-001","Infectious Disease Response"
"0140-00000032-001","Infectious Disease Response"
"0140-00000034-001","Infectious Disease Response"
"0140-00000035-001","Infectious Disease Response"
"0140-00000038-001","Infectious Disease Response"
"0140-00000039-001","Infectious Disease Response"
"0140-00000040-001","Infectious Disease Response"
"0140-00000042-001","Infectious Disease Response"
"0140-00000044-001","Infectious Disease Response"
"0140-00000045-001","Infectious Disease Response"
"0140-00000065-001","Infectious Disease Response"
"0140-00000135-001","Infectious Disease Response"
"0140-00000066-001","Infectious Disease Response"
"0140-00000041-001","Infectious Disease Response"
"0140-00000136-001","Infectious Disease Response"
"0140-00000089-001","Infectious Disease Response"
"0140-00000090-001","Infectious Disease Response"
"0140-00000040-002","Infectious Disease Response"
"0140-00000039-002","Infectious Disease Response"
"0140-00000131-001","Infectious Disease Response"
"0140-00000132-001","Infectious Disease Response"
"0140-00000031-002","Infectious Disease Response"
"0140-00000134-001","Infectious Disease Response"
"0140-00000146-001","Infectious Disease Response"
"0140-00000149-001","Infectious Disease Response"
"0140-00000152-001","Infectious Disease Response"
"0140-00000088-001","Infectious Disease Response"
"0140-00000151-001","Infectious Disease Response"
"0000-00000001-001","NULL SET"
